Name,Player Page,Teammates Page
Jude Bellingham,https://www.transfermarkt.com/jude-bellingham/profil/spieler/581678,https://www.transfermarkt.com/jude-bellingham/gemeinsameSpiele/spieler/581678
Erling Haaland,https://www.transfermarkt.com/erling-haaland/profil/spieler/418560,https://www.transfermarkt.com/erling-haaland/gemeinsameSpiele/spieler/418560
Vinicius Junior,https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998,https://www.transfermarkt.com/vinicius-junior/gemeinsameSpiele/spieler/371998
Kylian Mbappé,https://www.transfermarkt.com/kylian-mbappe/profil/spieler/342229,https://www.transfermarkt.com/kylian-mbappe/gemeinsameSpiele/spieler/342229
Phil Foden,https://www.transfermarkt.com/phil-foden/profil/spieler/406635,https://www.transfermarkt.com/phil-foden/gemeinsameSpiele/spieler/406635
Bukayo Saka,https://www.transfermarkt.com/bukayo-saka/profil/spieler/433177,https://www.transfermarkt.com/bukayo-saka/gemeinsameSpiele/spieler/433177
Florian Wirtz,https://www.transfermarkt.com/florian-wirtz/profil/spieler/598577,https://www.transfermarkt.com/florian-wirtz/gemeinsameSpiele/spieler/598577
Jamal Musiala,https://www.transfermarkt.com/jamal-musiala/profil/spieler/580195,https://www.transfermarkt.com/jamal-musiala/gemeinsameSpiele/spieler/580195
Rodri,https://www.transfermarkt.com/rodri/profil/spieler/357565,https://www.transfermarkt.com/rodri/gemeinsameSpiele/spieler/357565
Lamine Yamal,https://www.transfermarkt.com/lamine-yamal/profil/spieler/937958,https://www.transfermarkt.com/lamine-yamal/gemeinsameSpiele/spieler/937958
Federico Valverde,https://www.transfermarkt.com/federico-valverde/profil/spieler/369081,https://www.transfermarkt.com/federico-valverde/gemeinsameSpiele/spieler/369081
Declan Rice,https://www.transfermarkt.com/declan-rice/profil/spieler/357662,https://www.transfermarkt.com/declan-rice/gemeinsameSpiele/spieler/357662
Rodrygo,https://www.transfermarkt.com/rodrygo/profil/spieler/412363,https://www.transfermarkt.com/rodrygo/gemeinsameSpiele/spieler/412363
Lautaro Martínez,https://www.transfermarkt.com/lautaro-martinez/profil/spieler/406625,https://www.transfermarkt.com/lautaro-martinez/gemeinsameSpiele/spieler/406625
Martin Ødegaard,https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264,https://www.transfermarkt.com/martin-odegaard/gemeinsameSpiele/spieler/316264
Eduardo Camavinga,https://www.transfermarkt.com/eduardo-camavinga/profil/spieler/640428,https://www.transfermarkt.com/eduardo-camavinga/gemeinsameSpiele/spieler/640428
Aurélien Tchouaméni,https://www.transfermarkt.com/aurelien-tchouameni/profil/spieler/413112,https://www.transfermarkt.com/aurelien-tchouameni/gemeinsameSpiele/spieler/413112
Victor Osimhen,https://www.transfermarkt.com/victor-osimhen/profil/spieler/401923,https://www.transfermarkt.com/victor-osimhen/gemeinsameSpiele/spieler/401923
Harry Kane,https://www.transfermarkt.com/harry-kane/profil/spieler/132098,https://www.transfermarkt.com/harry-kane/gemeinsameSpiele/spieler/132098
Gavi,https://www.transfermarkt.com/gavi/profil/spieler/646740,https://www.transfermarkt.com/gavi/gemeinsameSpiele/spieler/646740
Julián Alvarez,https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024,https://www.transfermarkt.com/julian-alvarez/gemeinsameSpiele/spieler/576024
Rafael Leão,https://www.transfermarkt.com/rafael-leao/profil/spieler/357164,https://www.transfermarkt.com/rafael-leao/gemeinsameSpiele/spieler/357164
Bruno Guimarães,https://www.transfermarkt.com/bruno-guimaraes/profil/spieler/520624,https://www.transfermarkt.com/bruno-guimaraes/gemeinsameSpiele/spieler/520624
Pedri,https://www.transfermarkt.com/pedri/profil/spieler/683840,https://www.transfermarkt.com/pedri/gemeinsameSpiele/spieler/683840
Cole Palmer,https://www.transfermarkt.com/cole-palmer/profil/spieler/568177,https://www.transfermarkt.com/cole-palmer/gemeinsameSpiele/spieler/568177
Xavi Simons,https://www.transfermarkt.com/xavi-simons/profil/spieler/566931,https://www.transfermarkt.com/xavi-simons/gemeinsameSpiele/spieler/566931
Khvicha Kvaratskhelia,https://www.transfermarkt.com/khvicha-kvaratskhelia/profil/spieler/502670,https://www.transfermarkt.com/khvicha-kvaratskhelia/gemeinsameSpiele/spieler/502670
